Year,Month,Fleet,Index,CV,Label
2001,7,2,0.830508269,0.065523601,Recreational 
2002,7,2,0.851435872,0.067077433,Recreational 
2003,7,2,0.83669451,0.065171673,Recreational 
2004,7,2,0.931592658,0.042705736,Recreational 
2005,7,2,1.027134253,0.021056798,Recreational 
2006,7,2,0.783828594,0.057291521,Recreational 
2007,7,2,0.999864774,0.026568272,Recreational 
2008,7,2,0.966383251,0.025932023,Recreational 
2009,7,2,0.959352676,0.032920195,Recreational 
2010,7,2,0.927136259,0.026148933,Recreational 
2011,7,2,0.942601633,0.02934338,Recreational 
2012,7,2,0.960882682,0.036380823,Recreational 
2013,7,2,0.890188829,0.049879327,Recreational 
2014,7,2,0.854522737,0.058660537,Recreational 
2015,7,2,1.056473774,0.014391029,Recreational 
2016,7,2,1.061328225,0.012949112,Recreational 
2017,7,2,0.82109525,0.036558543,Recreational 
2018,7,2,0.945220096,0.039186656,Recreational 
2019,7,2,0.950285145,0.032984928,Recreational 
2020,7,2,0.860586689,0.047595212,Recreational 
1890,1,3,1,0.00001,RSS
2019,1,3,0.6,0.5,RSS
