"Quantity","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"OFL","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in"
"ACL","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in","fill_in"
"Total Catch","105.1416","151.14988","90.92056","115.527","144.74229","148.9515","153.29551","175.18383","194.69281","168.45797","192.83325","218.74788","NA"
"1-SPR","0.52","0.64","0.50","0.58","0.66","0.68","0.70","0.76","0.80","0.79","0.84","0.89","NA"
"Fill in F method","0.08","0.12","0.07","0.09","0.12","0.13","0.14","0.18","0.22","0.21","0.26","0.33","NA"
"Age 3+ Biomass (mt)","1,723","1,681","1,599","1,578","1,535","1,466","1,398","1,328","1,242","1,141","1,068","976","2,195"
"Spawning Biomass (mt)","479","463","433","423","407","383","358","333","302","267","241","210","173"
"95% CI","455–502","439–486","410–456","400–447","384–430","359–406","335–381","310–356","279–325","244–290","218–264","187–233","151–196"
"Recruits","302","300","297","295","293","290","286","281","275","267","259","249","233"
"95% CI","292–312","290–310","286–307","285–306","283–304","279–300","275–296","270–292","264–286","255–279","247–272","235–262","218–249"
"Depletion (%)","60.1","58.1","54.4","53.2","51.1","48.0","44.9","41.8","37.9","33.6","30.3","26.3","21.7"
"95% CI","59.0–61.3","56.9–59.3","53.1–55.7","51.8–54.5","49.7–52.5","46.6–49.5","43.3–46.5","40.1–43.4","36.2–39.7","31.7–35.4","28.3–32.2","24.3–28.4","19.6–23.9"
